Order date,Chain,Suburb,State,Postcode,Manager,Category,Buyer,Sales,inventory
2021-12-27,0,25,1,2067,6,2,8,479.02,479.02
2021-10-03,0,25,1,2067,6,5,2,149.95,749.75
2022-01-14,0,25,1,2067,6,7,1,14,14
2019-05-15,0,25,1,2067,6,5,2,12,24
2020-10-17,0,25,1,2067,6,9,0,46.94,187.76
2019-01-03,0,25,1,2067,6,5,2,-2.99,5.98
2022-06-14,0,25,1,2067,6,6,4,17.6,17.6
2019-01-06,0,25,1,2067,6,0,7,44.2,44.2
2020-06-06,0,25,1,2067,6,6,4,5,20
2022-02-03,0,25,1,2067,6,9,0,87.99,351.96
2021-11-02,0,25,1,2067,6,6,4,4,4
2020-08-22,0,25,1,2067,6,9,0,5,20
2020-01-18,0,25,1,2067,6,0,7,2.99,5.98
2019-12-15,0,25,1,2067,6,0,7,3.98,19.9
2022-03-26,0,25,1,2067,6,7,1,3.99,3.99
2020-01-31,0,25,1,2067,6,7,1,5,10
2022-11-26,0,25,1,2067,6,3,5,3.98,11.94
2020-05-08,0,25,1,2067,6,6,4,7.99,7.99
2019-12-01,0,25,1,2067,6,0,7,5.99,11.98
2021-05-22,0,25,1,2067,6,2,8,16.03,80.15
2020-04-04,0,25,1,2067,6,10,7,8.97,35.88
2022-07-01,0,25,1,2067,6,9,0,310.01,1240.04
2020-04-04,0,25,1,2067,6,7,1,19.5,19.5
2022-02-04,0,25,1,2067,6,5,2,98.96,197.92
2021-08-26,0,25,1,2067,6,4,9,20,100
2021-10-23,0,25,1,2067,6,5,2,41.98,41.98
2022-07-05,0,25,1,2067,6,9,0,96,384
2022-08-20,0,25,1,2067,6,2,8,95.98,287.94
2020-05-21,0,25,1,2067,6,6,4,63.83,127.66
2021-01-07,0,25,1,2067,6,1,3,1252.63,1252.63
2020-05-02,0,25,1,2067,6,7,1,89.93,89.93
2020-02-21,0,25,1,2067,6,3,5,89.76,179.52
2021-11-28,0,25,1,2067,6,6,4,103.01,515.05
2019-08-23,0,25,1,2067,6,5,2,340.73,1703.65
2019-03-19,0,25,1,2067,6,9,0,165.26,330.52
2022-04-12,0,25,1,2067,6,5,2,154.85,774.25
2019-12-20,0,25,1,2067,6,8,6,389.91,1559.64
2020-12-22,0,25,1,2067,6,0,7,277.23,1386.15
2022-05-28,0,25,1,2067,6,6,4,356.62,356.62
2021-04-18,0,25,1,2067,6,8,6,192.7,385.4
2019-01-25,0,25,1,2067,6,7,1,392.6,1177.8
2019-10-30,0,25,1,2067,6,7,1,638.06,638.06
2022-01-13,0,25,1,2067,6,5,2,693.66,3468.3
2021-02-20,0,25,1,2067,6,7,1,884.67,3538.68
2019-10-11,0,25,1,2067,6,4,9,362.99,1088.97
2019-08-12,0,25,1,2067,6,8,6,617.07,1234.14
2020-12-20,0,25,1,2067,6,9,0,674.18,3370.9
2020-03-25,0,25,1,2067,6,9,0,830.23,830.23
2019-07-04,0,25,1,2067,6,6,4,1478.57,2957.14
2019-02-25,0,25,1,2067,6,6,4,1235.59,6177.95
2019-10-27,0,25,1,2067,6,0,7,899.25,4496.25
2021-03-03,0,25,1,2067,6,2,8,2014.85,4029.7
2020-01-14,0,25,1,2067,6,0,7,1433.57,7167.85
2018-11-28,0,25,1,2067,6,6,4,2014.07,2014.07
2021-03-31,0,25,1,2067,6,2,8,2656.97,5313.94
2022-08-28,0,25,1,2067,6,9,0,1063.73,5318.65
2021-05-14,0,25,1,2067,6,8,6,1736.2,1736.2
2021-04-01,0,25,1,2067,6,4,9,2078.68,8314.72
2021-01-13,0,25,1,2067,6,1,3,2543.12,12715.6
2020-09-21,0,25,1,2067,6,3,5,1828.99,5486.97
2019-11-07,0,25,1,2067,6,8,6,4586.58,9173.16
2022-10-24,0,25,1,2067,6,2,8,5576.27,11152.54
2020-12-04,0,25,1,2067,6,5,2,5159.88,25799.4
2019-12-07,0,25,1,2067,6,7,1,4632.19,13896.57
2019-08-08,0,25,1,2067,6,9,0,6703.18,26812.72
2021-09-17,0,12,1,2795,8,5,2,96.98,484.9
2020-04-09,0,12,1,2795,8,9,0,144.96,434.88
2020-07-22,0,12,1,2795,8,5,2,182.65,730.6
2021-08-31,0,12,1,2795,8,9,0,-8.97,26.91
2019-03-25,0,12,1,2795,8,9,0,11,55
2021-09-10,0,12,1,2795,8,4,9,35.94,107.82
2022-06-06,0,12,1,2795,8,5,2,15,60
2020-08-05,0,12,1,2795,8,9,0,1,3
2022-05-31,0,12,1,2795,8,6,4,2.49,2.49
2020-05-10,0,12,1,2795,8,0,7,1.96,1.96
2019-06-16,0,12,1,2795,8,6,4,2.99,8.97
2021-06-12,0,12,1,2795,8,6,4,14.97,29.94
2022-05-26,0,12,1,2795,8,9,0,17.99,35.98
2020-09-19,0,12,1,2795,8,10,1,25.97,129.85
2019-06-08,0,12,1,2795,8,2,8,32.06,96.18
2020-02-20,0,12,1,2795,8,1,3,342.09,342.09
2019-02-17,0,12,1,2795,8,5,2,99.97,99.97
2020-04-18,0,12,1,2795,8,6,4,111.92,559.6
2021-09-01,0,12,1,2795,8,8,6,133.39,533.56
2020-07-21,0,12,1,2795,8,4,9,49.97,149.91
2021-12-19,0,12,1,2795,8,6,4,229.66,918.64
2022-08-28,0,12,1,2795,8,5,2,119.96,239.92
2022-04-20,0,12,1,2795,8,6,4,105.88,317.64
2021-07-08,0,12,1,2795,8,8,6,159.96,479.88
2019-02-18,0,12,1,2795,8,7,1,109.77,548.85
2020-10-19,0,12,1,2795,8,5,2,302.86,302.86
2019-08-13,0,12,1,2795,8,1,3,483.65,2418.25
2020-09-01,0,12,1,2795,8,3,5,173.96,869.8
2019-08-30,0,12,1,2795,8,0,7,206.53,619.59
2019-10-01,0,12,1,2795,8,7,1,177.82,889.1
2022-11-20,0,12,1,2795,8,9,0,371.33,1485.32
2020-04-07,0,12,1,2795,8,9,0,417.8,1253.4
2019-10-28,0,12,1,2795,8,8,6,337.79,1013.37
2022-06-09,0,12,1,2795,8,9,0,353.8,707.6
2021-07-01,0,12,1,2795,8,6,4,1392.41,4177.23
2022-09-04,0,12,1,2795,8,5,2,458.7,2293.5
2020-01-08,0,12,1,2795,8,7,1,655.57,1966.71
2019-10-05,0,12,1,2795,8,1,3,1173.73,4694.92
2022-09-23,0,12,1,2795,8,2,8,1342.11,2684.22
2022-03-05,0,12,1,2795,8,0,7,1854.35,7417.4
2022-03-31,0,12,1,2795,8,2,8,1794.12,3588.24
2020-06-11,0,12,1,2795,8,6,4,1894.88,3789.76
2021-07-13,0,12,1,2795,8,6,4,1959.61,1959.61
2018-12-08,0,12,1,2795,8,7,1,1719.29,3438.58
2022-07-24,0,12,1,2795,8,8,6,2806.85,11227.4
2019-06-03,0,12,1,2795,8,10,7,1298.29,2596.58
2018-12-11,0,12,1,2795,8,9,0,5685.02,28425.1
2021-04-12,0,12,1,2795,8,4,9,2906.28,2906.28
2022-12-09,0,12,1,2795,8,3,5,2164.53,4329.06
2020-11-01,0,12,1,2795,8,2,8,4036.17,16144.68
2019-12-08,0,12,1,2795,8,5,2,5349.24,10698.48
2022-04-17,0,12,1,2795,8,7,1,5221.68,10443.36
2021-03-21,0,12,1,2795,8,2,8,6075.71,18227.13
2020-05-19,1,52,1,2141,10,5,2,88.48,88.48
2021-11-01,1,52,1,2141,10,5,2,26.99,107.96
2019-02-19,1,52,1,2141,10,5,2,5,25
2022-02-25,1,52,1,2141,10,8,6,20,20
2019-10-26,1,52,1,2141,10,9,0,10,50
2020-07-28,1,52,1,2141,10,9,0,5.99,23.96
2021-01-05,1,52,1,2141,10,9,0,12.99,12.99
2022-08-08,1,52,1,2141,10,1,3,34.96,34.96
2021-04-15,1,52,1,2141,10,0,7,30.95,61.9
2019-09-25,1,52,1,2141,10,5,2,94.97,284.91
2022-03-20,1,52,1,2141,10,5,2,53.98,53.98
2021-02-07,1,52,1,2141,10,2,8,114.29,114.29
2022-02-18,1,52,1,2141,10,9,0,142.95,428.85
2022-05-03,1,52,1,2141,10,7,1,113.52,113.52
2022-01-02,1,52,1,2141,10,0,7,181.76,727.04
2019-05-30,1,52,1,2141,10,2,8,147.26,589.04
2020-01-28,1,52,1,2141,10,5,2,150.9,301.8
2019-01-15,1,52,1,2141,10,9,0,225.84,1129.2
2022-05-27,1,52,1,2141,10,3,5,215.3,430.6
2020-09-10,1,52,1,2141,10,9,0,734.59,3672.95
2019-03-26,1,52,1,2141,10,7,1,254.38,763.14
2019-11-21,1,52,1,2141,10,0,7,318.87,318.87
2019-02-13,1,52,1,2141,10,4,9,598.72,1197.44
2021-05-25,1,52,1,2141,10,7,1,355.95,355.95
2020-05-01,1,52,1,2141,10,3,5,491.16,1964.64
2019-08-29,1,52,1,2141,10,6,4,630.55,3152.75
2022-08-26,1,52,1,2141,10,8,6,1162.35,3487.05
2020-12-02,1,52,1,2141,10,6,4,1114.61,1114.61
2019-07-31,1,52,1,2141,10,10,2,2247.81,11239.05
2022-11-18,1,52,1,2141,10,8,6,1741.89,6967.56
2022-08-06,1,52,1,2141,10,7,1,2536.85,2536.85
2021-12-22,1,52,1,2141,10,7,1,3036.66,3036.66
2022-04-20,0,31,2,800,11,5,2,192.62,963.1
2020-02-29,0,31,2,800,11,9,0,20,40
2021-12-24,0,31,2,800,11,1,3,1.96,9.8
2020-06-24,0,31,2,800,11,5,2,20.99,104.95
2022-10-08,0,31,2,800,11,9,0,94.96,284.88
2021-12-28,0,31,2,800,11,6,4,4,16
2021-12-25,0,31,2,800,11,0,7,3,12
2021-11-02,0,31,2,800,11,6,4,2,6
2020-09-06,0,31,2,800,11,9,0,21,105
2021-07-27,0,31,2,800,11,0,7,2.99,5.98
2022-09-12,0,31,2,800,11,5,2,85.96,343.84
2021-07-09,0,31,2,800,11,6,4,7.99,23.97
2022-06-16,0,31,2,800,11,7,1,7,28
2020-10-02,0,31,2,800,11,9,0,19.99,39.98
2022-12-16,0,31,2,800,11,0,7,7.01,14.02
2022-02-15,0,31,2,800,11,9,0,58.96,294.8
2019-06-21,0,31,2,800,11,2,8,226.94,907.76
2020-09-21,0,31,2,800,11,4,9,12.45,12.45
2021-04-18,0,31,2,800,11,5,2,51.96,259.8
2022-06-03,0,31,2,800,11,6,4,19.99,99.95
2022-02-05,0,31,2,800,11,2,8,24.98,74.94
2019-03-30,0,31,2,800,11,4,9,29.45,88.35
2021-11-06,0,31,2,800,11,6,4,44.97,179.88
2019-07-29,0,31,2,800,11,7,1,44.97,89.94
2020-08-11,0,31,2,800,11,6,4,63.84,319.2
2021-05-07,0,31,2,800,11,0,7,189.62,948.1
