,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Inventory,date_difference,Sales
0,2,166,0,0,194,15,42420,2,0,4,261.96,2.0,0.0,41.9136,261.96,3,261.96
1,2,166,0,0,194,15,42420,2,0,5,731.94,3.0,0.0,219.582,3659.7,3,731.94
2,2,201,1,0,266,3,90036,3,1,10,14.62,2.0,0.0,6.8714,14.62,4,14.62
3,3,687,0,0,153,8,33311,2,0,16,957.5775,5.0,0.45,-383.031,4787.8875,7,957.5775
4,3,687,0,0,153,8,33311,2,1,14,22.368,2.0,0.2,2.5164,89.472,7,22.368
5,3,113,0,0,266,3,90032,3,0,9,48.86,7.0,0.0,14.1694,146.58,5,48.86
6,3,113,0,0,266,3,90032,3,1,2,7.28,4.0,0.0,1.9656,29.12,5,7.28
7,3,113,0,0,266,3,90032,3,2,13,907.152,6.0,0.2,90.7152,4535.76,5,907.152
8,3,113,0,0,266,3,90032,3,1,3,18.504,3.0,0.2,5.7825,18.504,5,18.504
9,3,113,0,0,266,3,90032,3,1,1,114.9,5.0,0.0,34.47,574.5,5,114.9
10,3,113,0,0,266,3,90032,3,0,16,1706.184,9.0,0.2,85.3092,1706.184,5,1706.184
11,3,113,0,0,266,3,90032,3,2,13,911.424,4.0,0.2,68.3568,2734.272,5,911.424
12,3,31,0,0,96,31,28027,2,1,12,15.552,3.0,0.2,5.4432,15.552,5,15.552
13,3,336,0,0,452,45,98103,3,1,3,407.976,3.0,0.2,132.5922,815.952,5,407.976
14,3,319,2,0,154,41,76106,0,1,1,68.81,5.0,0.8,-123.858,344.05,4,68.81
15,3,319,2,0,154,41,76106,0,1,3,2.544,3.0,0.8,-3.816,10.176,4,2.544
16,3,603,0,0,272,47,53711,0,1,14,665.88,6.0,0.0,13.3176,665.88,7,665.88
17,2,17,0,0,513,42,84084,3,1,14,55.5,2.0,0.0,9.99,55.5,2,55.5
18,2,792,0,0,438,3,94109,3,1,2,8.56,2.0,0.0,2.4824,8.56,5,8.56
19,2,792,0,0,438,3,94109,3,2,13,213.48,3.0,0.2,16.011,640.44,5,213.48
20,2,792,0,0,438,3,94109,3,1,3,22.72,4.0,0.2,7.384,22.72,5,22.72
21,3,437,1,0,158,25,68025,0,1,2,19.46,7.0,0.0,5.0596,19.46,4,19.46
