,Unnamed: 0,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Inventory,date_difference,Sales.1,Inventory
0,0,2,166,0,0,194,15,42420,2,0,4,261.96,2.0,0.0,41.9136,261.96,3,261.96,261.96
1,1,2,166,0,0,194,15,42420,2,0,5,731.94,3.0,0.0,219.582,3659.7,3,731.94,3659.7
2,2,2,201,1,0,266,3,90036,3,1,10,14.62,2.0,0.0,6.8714,14.62,4,14.62,14.62
3,3,3,687,0,0,153,8,33311,2,0,16,957.5775,5.0,0.45,-383.031,4787.8875,7,957.5775,4787.8875
4,4,3,687,0,0,153,8,33311,2,1,14,22.368,2.0,0.2,2.5164,89.472,7,22.368,89.472
5,5,3,113,0,0,266,3,90032,3,0,9,48.86,7.0,0.0,14.1694,146.58,5,48.86,146.58
6,6,3,113,0,0,266,3,90032,3,1,2,7.28,4.0,0.0,1.9656,29.12,5,7.28,29.12
7,7,3,113,0,0,266,3,90032,3,2,13,907.152,6.0,0.2,90.7152,4535.76,5,907.152,4535.76
8,8,3,113,0,0,266,3,90032,3,1,3,18.504,3.0,0.2,5.7825,18.504,5,18.504,18.504
9,9,3,113,0,0,266,3,90032,3,1,1,114.9,5.0,0.0,34.47,574.5,5,114.9,574.5
10,10,3,113,0,0,266,3,90032,3,0,16,1706.184,9.0,0.2,85.3092,1706.184,5,1706.184,1706.184
11,11,3,113,0,0,266,3,90032,3,2,13,911.424,4.0,0.2,68.3568,2734.272,5,911.424,2734.272
12,12,3,31,0,0,96,31,28027,2,1,12,15.552,3.0,0.2,5.4432,15.552,5,15.552,15.552
13,13,3,336,0,0,452,45,98103,3,1,3,407.976,3.0,0.2,132.5922,815.952,5,407.976,815.952
14,14,3,319,2,0,154,41,76106,0,1,1,68.81,5.0,0.8,-123.858,344.05,4,68.81,344.05
15,15,3,319,2,0,154,41,76106,0,1,3,2.544,3.0,0.8,-3.816,10.176,4,2.544,10.176
16,16,3,603,0,0,272,47,53711,0,1,14,665.88,6.0,0.0,13.3176,665.88,7,665.88,665.88
17,17,2,17,0,0,513,42,84084,3,1,14,55.5,2.0,0.0,9.99,55.5,2,55.5,55.5
18,18,2,792,0,0,438,3,94109,3,1,2,8.56,2.0,0.0,2.4824,8.56,5,8.56,8.56
19,19,2,792,0,0,438,3,94109,3,2,13,213.48,3.0,0.2,16.011,640.44,5,213.48,640.44
20,20,2,792,0,0,438,3,94109,3,1,3,22.72,4.0,0.2,7.384,22.72,5,22.72,22.72
21,21,3,437,1,0,158,25,68025,0,1,2,19.46,7.0,0.0,5.0596,19.46,4,19.46,19.46
22,22,3,437,1,0,158,25,68025,0,1,1,60.34,7.0,0.0,15.6884,120.68,4,60.34,120.68
23,23,2,669,0,0,374,36,19140,1,0,5,71.372,2.0,0.3,-1.0196,285.488,2,71.372,285.488
24,24,3,256,0,0,351,42,84057,3,0,16,1044.63,3.0,0.0,240.2649,2089.26,5,1044.63,2089.26
25,25,2,261,0,0,266,3,90049,3,1,3,11.648,2.0,0.2,4.2224,23.296,4,11.648,23.296
26,26,2,261,0,0,266,3,90049,3,2,0,90.57,3.0,0.0,11.7741,362.28,4,90.57,362.28
27,27,3,765,0,0,374,36,19140,1,0,4,3083.43,7.0,0.5,-1665.0522,15417.15,4,3083.43,15417.15
28,28,3,765,0,0,374,36,19140,1,1,3,9.618,2.0,0.7,-7.0532,48.09,4,9.618,48.09
29,29,3,765,0,0,374,36,19140,1,0,9,124.2,3.0,0.2,15.525,621,4,124.2,621.0
30,30,3,765,0,0,374,36,19140,1,1,7,3.264,2.0,0.2,1.1016,9.792,4,3.264,9.792
31,31,3,765,0,0,374,36,19140,1,1,2,86.304,6.0,0.2,9.7092,431.52,4,86.304,431.52
32,32,3,765,0,0,374,36,19140,1,1,3,6.858,6.0,0.7,-5.715,27.432,4,6.858,27.432
33,33,3,765,0,0,374,36,19140,1,1,2,15.76,2.0,0.2,3.546,31.52,4,15.76,31.52
34,34,2,502,2,0,207,41,77095,0,1,12,29.472,3.0,0.2,9.9468,29.472,4,29.472,29.472
35,35,0,297,1,0,406,41,75080,0,2,13,1097.544,7.0,0.2,123.4737,3292.632,2,1097.544,3292.632
36,36,0,297,1,0,406,41,75080,0,0,9,190.92,5.0,0.6,-147.963,954.6,2,190.92,954.6
37,37,3,712,2,0,207,41,77041,0,1,7,113.328,9.0,0.2,35.415,566.64,4,113.328,566.64
38,38,3,712,2,0,207,41,77041,0,0,4,532.3992,3.0,0.32,-46.9764,2129.5968,4,532.3992,2129.5968
39,39,3,712,2,0,207,41,77041,0,0,5,212.058,3.0,0.3,-15.147,212.058,4,212.058,212.058
40,40,3,712,2,0,207,41,77041,0,2,13,371.168,4.0,0.2,41.7564,742.336,4,371.168,742.336
41,41,3,460,1,0,321,11,60540,0,2,13,147.168,4.0,0.2,16.5564,588.672,5,147.168,588.672
42,42,3,657,1,0,266,3,90049,3,1,14,77.88,2.0,0.0,3.894,389.4,5,77.88,389.4
43,43,3,270,1,0,288,8,32935,2,1,14,95.616,2.0,0.2,9.5616,382.464,4,95.616,382.464
44,44,0,579,1,0,129,21,55122,0,2,0,45.98,2.0,0.0,19.7714,137.94,2,45.98,137.94
45,45,0,579,1,0,129,21,55122,0,1,3,17.46,2.0,0.0,8.2062,87.3,2,17.46,87.3
46,46,2,589,0,0,516,20,48185,0,1,14,211.96,4.0,0.0,8.4784,211.96,5,211.96,211.96
47,47,3,458,0,0,124,6,19901,1,2,0,45,3.0,0.0,4.95,45,5,45.0,45.0
48,48,3,458,0,0,124,6,19901,1,2,13,21.8,2.0,0.0,6.104,21.8,5,21.8,21.8
49,49,3,198,0,0,324,12,47150,0,1,3,38.22,6.0,0.0,17.9634,152.88,4,38.22,152.88
50,50,3,198,0,0,324,12,47150,0,1,10,75.18,6.0,0.0,35.3346,225.54,4,75.18,225.54
51,51,3,198,0,0,324,12,47150,0,0,9,6.16,2.0,0.0,2.9568,24.64,4,6.16,24.64
52,52,3,198,0,0,324,12,47150,0,0,5,89.99,1.0,0.0,17.0981,359.96,4,89.99,359.96
53,53,3,349,1,0,329,30,10024,1,1,8,15.26,7.0,0.0,6.2566,76.3,6,15.26,76.3
54,54,3,349,1,0,329,30,10024,1,2,13,1029.95,5.0,0.0,298.6855,2059.9,6,1029.95,2059.9
55,55,0,735,0,0,488,30,12180,1,1,14,208.56,6.0,0.0,52.14,834.24,1,208.56,834.24
56,56,0,735,0,0,488,30,12180,1,1,12,32.4,5.0,0.0,15.552,129.6,1,32.4,129.6
57,57,0,735,0,0,488,30,12180,1,0,5,319.41,5.0,0.1,7.098,1597.05,1,319.41,1597.05
58,58,0,735,0,0,488,30,12180,1,1,12,14.56,2.0,0.0,6.9888,14.56,1,14.56,14.56
